n,solution1_time_seconds,solution1_estimated_space_bytes,solution1_space_complexity,solution2_time_seconds,solution2_estimated_space_bytes,solution2_space_complexity
1000,0.000088,12000,O(n),0.000067,20000,O(n)
1500,0.000195,18000,O(n),0.000130,30000,O(n)
2000,0.000348,24000,O(n),0.000216,40000,O(n)
2500,0.000611,30000,O(n),0.000328,50000,O(n)
3000,0.000861,36000,O(n),0.000458,60000,O(n)
3500,0.001183,42000,O(n),0.000595,70000,O(n)
4000,0.001583,48000,O(n),0.000770,80000,O(n)
5000,0.002753,60000,O(n),0.001244,100000,O(n)
6000,0.004348,72000,O(n),0.001844,120000,O(n)
7000,0.006217,84000,O(n),0.002645,140000,O(n)
8000,0.008280,96000,O(n),0.003397,160000,O(n)
9000,0.013676,108000,O(n),0.005361,180000,O(n)
10000,0.017997,120000,O(n),0.006921,200000,O(n)
12000,0.027723,144000,O(n),0.010984,240000,O(n)
14000,0.040173,168000,O(n),0.015544,280000,O(n)
16000,0.055991,192000,O(n),0.021445,320000,O(n)
18000,0.075006,216000,O(n),0.029018,360000,O(n)
20000,0.095557,240000,O(n),0.038605,400000,O(n)
22000,0.116781,264000,O(n),0.050926,440000,O(n)
24000,0.155333,288000,O(n),0.060602,480000,O(n)
26000,0.186193,312000,O(n),0.076428,520000,O(n)
28000,0.225629,336000,O(n),0.091889,560000,O(n)
30000,0.265660,360000,O(n),0.109311,600000,O(n)
32000,0.320657,384000,O(n),0.148345,640000,O(n)
34000,0.376865,408000,O(n),0.161921,680000,O(n)
36000,0.432944,432000,O(n),0.177369,720000,O(n)
38000,0.490348,456000,O(n),0.201513,760000,O(n)
40000,0.561099,480000,O(n),0.261999,800000,O(n)
40164,0.567643,481968,O(n),0.278706,803280,O(n)
